EPOCH,HOURS_WITH_TRADES,AVG_PRICE_RATIO,EPOCH_VOLATILITY,EPOCH_PRICE_RANGE,EPOCH_RANGE_PCT,EPOCH_MIN_PRICE,EPOCH_MAX_PRICE,ESTIMATED_IL_PCT
767,48,1.1915401113353952,9.721415275635158e-05,0.00042557661200959274,0.03571651579002541,1.1913281537812566,1.1917537303932662,	-1.5945846643106165e-06
768,49,1.1921886000904443,0.0002508996100027166,0.0010645896892134132,0.0892970868143387,1.1915017293676993,1.1925663190569127,	-9.970047865071052e-06
769,49,1.1927271306686675,0.00038038182132425416,0.001957992117558094,0.16416094404261625,1.1912805866262715,1.1932385787438295,	-3.3712450420164686e-05
770,49,1.193455363021456,0.00025856672215946174,0.0008188001553131041,0.06860752238275239,1.1930356687113572,1.1938544688666703,	-5.883841847076354e-06
771,49,1.19402032681956,0.00027615667386442076,0.0009030737239905662,0.07563302765506759,1.1936505833320612,1.1945536570560518,	-7.1494642983616075e-06
772,48,1.194702015298879,0.00017746651432429494,0.0006430035317952498,0.05382124777234844,1.1943800065314198,1.195023010063215,	-3.620911515067604e-06
773,49,1.1948663972147535,0.000847437908691933,0.0061644710508772516,0.5159129979089462,1.1892182900884176,1.1953827611392949,-0.0003341418729485568
774,48,1.1955998508936398,0.00020684508305096448,0.0011901597574708322,0.09954499045656943,1.194646989515329,1.1958371492728,	-1.2393923776166105e-05
775,49,1.1958350851092394,0.00046590180624429616,0.003364223046962822,0.2813283444226342,1.1927935159657552,1.196157739012718,	-9.915741728816485e-05
776,48,1.1964894468323193,0.0002126200996109602,0.0008172511811455063,0.06830408603345076,1.1960164493098873,1.1968337004910328,	-5.832437921515776e-06
777,49,1.196810780471908,0.00015679696156032432,0.0005898968586603992,0.049289066265579606,1.1964996898650975,1.1970895867237579,	-3.036847029402878e-06
778,48,1.1972476237898069,0.00011922205187071191,0.0006393843321661485,0.053404518786366054,1.1967771785745336,1.1974165629066997,	-3.5659513231145468e-06
779,49,1.197745108428874,0.0001833413363593153,0.0007764094348199357,0.06482259283349362,1.1972534837693738,1.1980298932041937,	-5.2533679961719315e-06
780,48,1.198219173928541,0.00021971744039499475,0.0006967649461855352,0.058150041440339084,1.1979877777540742,1.1986845427002597,	-4.2259589938531406e-06
781,49,1.1987963873517387,0.00011179379574151938,0.0004189405783092681,0.0349467668345873,1.198569023694165,1.1989879642724743,	-1.5266412134451457e-06
