EPOCH,EPOCH_START_DATE,EPOCH_END_DATE,NUM_SWAPS,TOTAL_VOLUME_SOL,SOL_TO_JITOSOL_VOLUME,JITOSOL_TO_SOL_VOLUME,NET_SOL_FLOW,TOTAL_VOLUME_USD,AVG_SWAP_SIZE_SOL,AVG_SWAP_SIZE_USD,MAX_SWAP_SOL,P95_SWAP_SOL,AVG_PRICE_RATIO,MIN_PRICE_RATIO,MAX_PRICE_RATIO,PRICE_RATIO_STDDEV,ESTIMATED_FEES_SOL
760,2025-03-21,2025-03-23,32956,151603.721799377,109815.83582755599,41787.885971821,68027.949855735,18704872.51919557,4.600185756747694,567.5710802037738,5942.905127215,5.0,0.8413326361442022,0.7846817305934828,0.8474729241877256,0.00043872704996871485,379.00930449844253
761,2025-03-23,2025-03-25,46666,211373.83695061898,101133.67233379101,110240.16461682801,-9106.492283037003,28474340.82836884,4.529504070428556,610.173163081662,22149.082625767,3.7550084155000003,0.8411062714366265,0.7142857142857143,1.3333333333333335,0.0024387401703480044,528.4345923765475
762,2025-03-25,2025-03-27,40733,203519.994499993,162821.907079652,40698.087420341,122123.81965931103,26982004.787316535,4.996440097709302,662.4114302240575,5944.697430829,4.2678029550000005,0.8409062573020601,0.7923916526853544,0.881092158093444,0.00046696633742893226,508.79998624998245
763,2025-03-27,2025-03-29,48828,410339.06546422787,182783.38727454998,227555.678189678,-44772.290915128004,51951303.35338452,8.403765574347258,1063.965416428781,41608.592159701,5.737728588250004,0.84084558689155,0.7937423527355358,1.5,0.0030326121684965926,1025.8476636605697
764,2025-03-29,2025-03-31,51761,330811.458969299,228916.967922596,101894.491046703,127022.47687589299,39125394.066139445,6.39113345896136,755.8855908143089,36149.947083613,5.7,0.8402842109241987,0.8034764233151205,0.9434905754726417,0.0008209287542327938,827.0286474232474
765,2025-03-31,2025-04-03,58487,265542.72046540596,155753.212072835,109789.50839257104,45963.703680263985,31672205.7683201,4.5402007363244135,541.525565823518,11257.933244133,5.937803051499998,0.8398771235299634,0.8281306860586323,0.8458855707009403,0.00016603262521965785,663.8568011635149
766,2025-04-03,2025-04-05,63788,843607.4923400941,470226.2109996311,373381.28134046297,96844.929659168,93127978.35806663,13.22517546153029,1459.9607819349508,68172.338498968,8.330109589549968,0.8398540275120058,0.7871573696815671,0.9908198676933087,0.0007235930081527754,2109.018730850235
767,2025-04-05,2025-04-06,42563,218297.52774945603,114366.40518426502,103931.122565191,10435.282619074003,23231446.25388291,5.128809711473722,545.8131770289432,7341.6,6.136808187200007,0.8392487404768689,0.8317062453623609,0.8602136663220435,0.00017373303627251627,545.7438193736401
768,2025-04-06,2025-04-08,74241,377039.8690258989,264335.39352874405,112704.47549715501,151630.918031589,37687654.691418804,5.078593621124432,507.6393730070824,9457.154188659,8.302437155,0.8388268908275199,0.8181818181818181,2.0,0.005128173778081365,942.5996725647474
769,2025-04-08,2025-04-10,58729,279216.43657346093,172302.470833124,106913.96574033702,65388.505092787,29289779.743860185,4.754319613367517,498.7277110773244,9999.95,4.999430893599998,0.8383959767566346,0.8232163157746738,2.0,0.00751306549766283,698.0410914336524
770,2025-04-10,2025-04-12,70287,310671.53779264906,206199.920695325,104471.61709732401,101728.30359800102,35605651.005067565,4.420042650741233,506.5751988997619,15811.499345707,3.311727721799996,0.8378856853366048,0.7797396751416649,0.8899459654383981,0.00043813990959802834,776.6788444816227
771,2025-04-12,2025-04-14,81894,507854.398251598,299288.80843845895,208565.58981313897,90723.21862532,62761989.294382274,6.20136271584729,766.3808007226693,35093.030136402,3.368130844949935,0.8375117598430334,0.8220745199999999,2.0,0.004323963232959472,1269.635995628995
772,2025-04-14,2025-04-16,72658,281523.626700486,157952.604170585,123571.022529901,34381.581640684,34056047.99362247,3.874640462171901,468.7171129624056,7885.225336366,2.8038945424999926,0.8369979644481311,0.0,0.9486716998916742,0.003193577173501645,703.809066751215
